index,speed,acceleration,direction,latitude,longitude,proximity
1,52.2625,2.26249,18.4892,12.9643,77.7192,1.93068
2,52.4161,0.153582,33.0296,12.9647,77.7194,0.1
3,52.7026,0.286525,354.699,12.9651,77.7194,0.1
4,51.0011,-1.7015,312.486,12.9654,77.719,0.683744
5,55.287,4.28593,337.63,12.9659,77.7189,0.17901
6,53.6475,-1.63955,329.963,12.9663,77.7186,0.442526
7,57.7206,4.07313,336.32,12.9668,77.7184,2.70592
8,52.7989,-4.92172,356.981,12.9673,77.7184,1.24781
9,54.8229,2.024,332.115,12.9677,77.7182,1.00591
10,58.5436,3.72067,6.80591,12.9682,77.7182,2.25235
11,56.9071,-1.63642,16.303,12.9687,77.7184,0.771428
12,52.5737,-4.33344,45.7211,12.969,77.7187,3.17297
13,49.0222,-3.55146,45.1697,12.9694,77.719,0.107153
14,44.9923,-4.02994,56.4252,12.9696,77.7194,2.86942
15,47.5421,2.54976,81.3971,12.9697,77.7198,1.02359
16,50.0579,2.51587,52.4135,12.9699,77.7202,2.05254
17,49.5535,-0.504478,59.2692,12.9701,77.7205,0.1
18,48.5514,-1.00211,58.5501,12.9704,77.7209,0.891795
19,48.9759,0.424552,24.8125,12.9708,77.7211,0.1
20,45.2654,-3.71048,19.6282,12.9712,77.7212,2.39718
21,42.3481,-2.91735,5.17591,12.9716,77.7213,1.87555
22,45.7293,3.38125,31.9985,12.9719,77.7215,2.87282
23,43.8978,-1.83158,359.163,12.9723,77.7215,0.599603
24,43.4405,-0.457261,33.5116,12.9726,77.7217,0.1
25,45.7004,2.25993,74.4111,12.9727,77.7221,0.792867
26,46.6777,0.97731,60.8991,12.9729,77.7224,0.1
27,49.2874,2.60963,92.6375,12.9729,77.7229,1.12785
28,47.8844,-1.40296,65.9845,12.9731,77.7233,0.864392
29,47.4855,-0.398877,56.574,12.9733,77.7236,0.1
30,43.8894,-3.5961,64.2548,12.9735,77.724,2.30442
31,47.3002,3.41075,108.321,12.9734,77.7244,2.40188
32,51.44,4.13984,142.103,12.973,77.7247,3.79259
33,54.3448,2.90475,128.957,12.9727,77.725,1.87956
34,53.0169,-1.32789,157.647,12.9723,77.7252,0.173402
35,54.7974,1.78054,173.744,12.9718,77.7253,0.774759
36,52.8591,-1.93828,155.75,12.9714,77.7255,0.637438
37,55.8037,2.94452,159.846,12.9709,77.7256,1.76279
38,51.6601,-4.14352,128.943,12.9706,77.726,0.933875
39,49.6607,-1.99946,106.648,12.9705,77.7264,0.395086
40,48.0689,-1.59182,113.169,12.9703,77.7269,0.463171
41,51.4844,3.41552,88.3731,12.9703,77.7273,2.41612
42,49.8888,-1.59558,71.3378,12.9705,77.7277,1.08181
43,48.424,-1.4648,89.5524,12.9705,77.7282,0.324379
44,52.0933,3.6693,86.5431,12.9705,77.7286,1.45655
45,52.8129,0.719621,41.8949,12.9708,77.7289,0.1
46,48.8316,-3.98138,74.604,12.971,77.7294,0.763622
47,53.6235,4.79195,60.6793,12.9712,77.7298,2.29868
48,58.3459,4.72242,32.8076,12.9716,77.7301,2.81462
49,55.7975,-2.54837,52.9766,12.9719,77.7305,0.89189
50,58.1479,2.35038,76.6123,12.972,77.731,1.41388
51,56.5444,-1.60348,110.92,12.9719,77.7314,1.09729
52,56.9735,0.429011,124.562,12.9716,77.7319,0.1
53,55.1501,-1.82336,92.9227,12.9715,77.7324,0.86642
54,51.5817,-3.56837,80.4158,12.9716,77.7328,3.06815
55,51.438,-0.143688,38.6232,12.972,77.7331,0.1
56,47.6801,-3.75791,23.491,12.9724,77.7333,1.5863
57,50.9595,3.27934,21.1618,12.9728,77.7335,2.21964
58,49.4653,-1.49419,24.3918,12.9732,77.7336,0.792455
59,46.1335,-3.33178,49.1129,12.9735,77.734,1.4715
60,44.4694,-1.66411,86.5103,12.9735,77.7344,0.757516
61,41.4798,-2.98957,78.7649,12.9736,77.7348,1.0218
62,37.8473,-3.63251,38.5027,12.9739,77.735,3.04606
63,38.9592,1.1119,17.1453,12.9742,77.7351,0.735035
64,39.6353,0.676105,19.9393,12.9745,77.7352,0.1
65,37.4126,-2.22274,54.4691,12.9747,77.7355,0.861008
66,34.0431,-3.36947,18.537,12.975,77.7356,1.05173
67,36.8315,2.78838,359.122,12.9754,77.7356,0.81487
68,36.4747,-0.356783,320.334,12.9756,77.7354,0.1
69,34.5245,-1.95021,317.547,12.9758,77.7352,0.41196
70,33.7594,-0.765034,336.544,12.9761,77.735,0.1
71,37.6027,3.84326,316.805,12.9764,77.7348,1.71379
72,40.7099,3.10725,1.04072,12.9767,77.7348,2.50986
73,38.7126,-1.99732,37.7838,12.977,77.735,0.787547
74,39.6321,0.919459,357.901,12.9773,77.735,0.1
75,44.2399,4.60777,314.402,12.9776,77.7348,0.201995
76,44.6571,0.41727,273.143,12.9776,77.7344,0.1
77,49.0966,4.43951,251.846,12.9775,77.734,3.70674
78,48.358,-0.738638,237.425,12.9773,77.7336,0.1
79,52.6936,4.33555,225.324,12.9769,77.7333,3.89139
80,54.5052,1.81162,210.299,12.9765,77.733,0.555665
81,50.3334,-4.17177,246.898,12.9763,77.7326,0.650205
82,50.3722,0.03878,230.474,12.9761,77.7322,0.1
83,50.3151,-0.0570645,207.461,12.9757,77.732,0.1
84,52.9662,2.65109,164.141,12.9752,77.7322,0.385464
85,54.0272,1.06095,129.538,12.9749,77.7325,0.953095
86,51.1015,-2.92567,147.719,12.9745,77.7328,0.407199
87,52.5122,1.41075,126.575,12.9742,77.7332,0.687687
88,50.4235,-2.08877,134.896,12.9739,77.7335,0.122951
89,53.036,2.61252,111.511,12.9737,77.7339,1.41677
90,54.2024,1.16644,118.946,12.9735,77.7343,0.641926
91,51.9513,-2.25115,116.928,12.9733,77.7348,1.03011
92,55.7389,3.78762,105.528,12.9732,77.7352,2.28941
93,55.8546,0.115722,65.0121,12.9734,77.7357,0.1
94,59.5588,3.70417,71.1283,12.9735,77.7362,0.594117
95,55.7478,-3.81102,92.1646,12.9735,77.7367,0.246275
96,59.0233,3.27556,136.42,12.9731,77.737,1.36205
97,63.125,4.10171,102.717,12.973,77.7376,2.15423
98,61.125,-2,91.8846,12.973,77.7381,1.58981
99,57.125,-4,54.4544,12.9733,77.7386,0.317513
100,58.9587,1.83364,55.8146,12.9736,77.739,0.259986
101,60.9595,2.00079,60.8044,12.9739,77.7395,0.121016
102,56.9595,-4,100.999,12.9738,77.74,0.527749
103,52.0452,-4.91425,131.458,12.9734,77.7404,4.08633
104,49.2312,-2.81401,113.904,12.9733,77.7408,0.203286
105,48.4095,-0.821706,130.439,12.973,77.7411,0.1
106,46.1509,-2.25861,104.271,12.9729,77.7415,1.3138
107,47.7463,1.59544,73.753,12.973,77.7419,0.334302
108,44.4778,-3.26858,107.286,12.9729,77.7423,1.57652
109,41.6057,-2.87201,80.1752,12.9729,77.7427,0.511525
110,43.2693,1.66351,74.2376,12.973,77.7431,0.687105
111,40.7274,-2.54186,50.6744,12.9733,77.7434,1.41318
112,43.9212,3.19378,20.858,12.9736,77.7435,1.34373
